ρ [%],# assoc,affinity [ms],dense clique [ms],precision [%],recall [%]
0,64,7.12 ± 15.5,2.34 ± 0.2,100,89
0,256,26.91 ± 1.5,25.75 ± 0.8,100,89
0,512,111.98 ± 1.2,93.56 ± 0.7,100,89
0,1024,471.48 ± 8.5,374.93 ± 4.9,100,89
0,2048,2014.71 ± 72.6,1549.15 ± 41.8,100,89
20,64,2.01 ± 0.4,2.43 ± 0.1,100,89
20,256,25.91 ± 2.5,31.00 ± 11.4,100,89
20,512,110.35 ± 1.6,95.94 ± 24.3,100,89
20,1024,454.30 ± 8.6,421.56 ± 148.9,100,89
20,2048,1948.73 ± 99.5,2942.98 ± 2410.1,100,89
40,64,2.16 ± 1.7,1.73 ± 0.5,100,90
40,256,27.53 ± 4.2,21.95 ± 7.3,100,89
40,512,110.65 ± 2.9,82.26 ± 60.9,100,89
40,1024,456.44 ± 15.2,514.64 ± 363.5,99,89
40,2048,1930.23 ± 58.2,2423.99 ± 1579.2,99,89
80,64,2.01 ± 0.8,2.28 ± 0.7,100,91
80,256,27.12 ± 3.4,22.39 ± 3.6,99,90
80,512,107.61 ± 2.9,69.62 ± 11.1,99,90
80,1024,453.57 ± 9.0,251.93 ± 87.7,99,89
80,2048,1909.29 ± 34.3,953.14 ± 420.4,99,89
90,64,2.45 ± 2.1,2.64 ± 0.4,98,92
90,256,24.51 ± 0.2,16.86 ± 2.9,100,91
90,512,103.46 ± 1.3,60.40 ± 17.5,100,91
90,1024,433.42 ± 4.5,246.15 ± 56.4,99,90
90,2048,1797.12 ± 22.3,1204.95 ± 376.5,99,90
